# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Fri Apr  8 14:41:56 CEST 2022
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.01520		Age = 	3.000e+08 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	8.48	3.22832370	3.2220	2.3846	3.9108	3.1509	-1.191	-1.038	-1.155	-1.243	-1.306	-1.365	-1.453	-1.499	-1.510	3.30792999	          
	8.48	3.22876382	3.2224	2.3761	3.8935	3.0902	-1.170	-0.972	-1.108	-1.243	-1.335	-1.419	-1.538	-1.604	-1.619	3.30793715	          
	8.48	3.22921371	3.2229	2.3646	3.8742	3.0242	-1.142	-0.888	-1.026	-1.226	-1.355	-1.471	-1.626	-1.720	-1.737	3.30794477	          
	8.48	3.22966313	3.2233	2.3496	3.8524	2.9522	-1.104	-0.784	-0.907	-1.181	-1.358	-1.514	-1.715	-1.846	-1.866	3.30795217	          
	8.48	3.23011231	3.2237	2.3300	3.8279	2.8739	-1.055	-0.639	-0.754	-1.113	-1.341	-1.544	-1.799	-1.978	-2.002	3.30795979	          
	8.48	3.23055506	3.2242	2.3042	3.8013	2.7935	-0.991	-0.430	-0.555	-1.018	-1.302	-1.554	-1.873	-2.107	-2.137	3.30796719	          
	8.48	3.23077297	3.2244	2.2888	3.7879	2.7552	-0.952	-0.288	-0.436	-0.958	-1.272	-1.547	-1.900	-2.164	-2.197	3.30797076	          
	8.48	3.23098397	3.2246	2.2711	3.7752	2.7224	-0.908	-0.142	-0.315	-0.893	-1.234	-1.532	-1.918	-2.210	-2.246	3.30797434	          
	8.48	3.23140287	3.2250	2.2268	3.7524	2.6754	-0.797	0.219	-0.044	-0.734	-1.124	-1.463	-1.910	-2.257	-2.299	3.30798125	          
	8.48	3.23180842	3.2254	2.1725	3.7339	2.6558	-0.661	0.602	0.237	-0.549	-0.980	-1.351	-1.853	-2.246	-2.293	3.30798817	          
